,AGI State,Stn State,Zip Code,Average AGI,Stn ID,Stn Lat,Stn Lng,Connectors,Nearest Zip Distance,State,formatted_agi
0,AK,AK,99801,70878.06,81601.0,58.298366,-134.404006,2.0,,,"$70,878.06"
1,AK,AK,99801,70878.06,82228.0,58.367717000000006,-134.60308999999998,1.0,,,"$70,878.06"
2,AK,AK,99801,70878.06,85589.0,58.363473,-134.575083,1.0,,,"$70,878.06"
3,AK,AK,99801,70878.06,64702.0,58.36135,-134.577297,1.0,,,"$70,878.06"
4,AK,AK,99801,70878.06,72524.0,58.353653,-134.495592,2.0,,,"$70,878.06"
5,AK,AK,99669,76660.58,88572.0,60.494657999999994,-151.045242,2.0,,,"$76,660.58"
6,AK,AK,99518,67020.63,88609.0,61.1693691,-149.9111444,2.0,,,"$67,020.63"
7,WA,WA,99403,54616.67,82796.0,46.4254977,-117.0486497,2.0,,,"$54,616.67"
8,WA,WA,99362,60517.83,71785.0,46.087373,-118.22673400000001,1.0,,,"$60,517.83"
9,WA,WA,99362,60517.83,80359.0,46.067801,-118.341422,2.0,,,"$60,517.83"
10,WA,WA,99362,60517.83,71792.0,46.012334,-118.36988899999999,1.0,,,"$60,517.83"
11,WA,WA,99362,60517.83,71772.0,46.017286,-118.38344,1.0,,,"$60,517.83"
12,WA,WA,99362,60517.83,39799.0,46.047464,-118.353406,1.0,,,"$60,517.83"
13,WA,WA,99362,60517.83,74975.0,46.089498999999996,-118.278589,1.0,,,"$60,517.83"
14,WA,WA,99362,60517.83,71779.0,46.086119000000004,-118.27816299999999,2.0,,,"$60,517.83"
15,WA,WA,99354,68008.1,68192.0,46.3343983,-119.269803,1.0,,,"$68,008.10"
16,WA,WA,99352,87005.85,89660.0,46.281294,-119.273452,2.0,,,"$87,005.85"
17,WA,WA,99352,87005.85,89661.0,46.271848999999996,-119.269167,2.0,,,"$87,005.85"
18,WA,WA,99352,87005.85,61930.0,46.2601764,-119.28081409999999,2.0,,,"$87,005.85"
19,WA,WA,99338,96776.45,89655.0,46.213187,-119.286497,2.0,,,"$96,776.45"
20,WA,WA,99338,96776.45,74979.0,46.177254,-119.189388,2.0,,,"$96,776.45"
21,WA,WA,99336,46835.32,70303.0,46.197294,-119.16214,8.0,,,"$46,835.32"
22,WA,WA,99336,46835.32,64135.0,46.213233,-119.16236699999999,2.0,,,"$46,835.32"
23,WA,WA,99320,58502.48,71782.0,46.293801,-119.451333,5.0,,,"$58,502.48"
24,WA,WA,99301,51814.87,39787.0,46.236607,-119.128998,1.0,,,"$51,814.87"
25,WA,WA,99301,51814.87,74982.0,46.250788,-119.116904,2.0,,,"$51,814.87"
26,WA,WA,99301,51814.87,60411.0,46.229119,-119.106522,1.0,,,"$51,814.87"
27,WA,WA,99224,75151.45,89665.0,47.642631,-117.53753300000001,2.0,,,"$75,151.45"
28,WA,WA,99224,75151.45,74980.0,47.637215000000005,-117.47683400000001,2.0,,,"$75,151.45"
29,WA,WA,99224,75151.45,66622.0,47.6250925,-117.5395602,2.0,,,"$75,151.45"
30,WA,WA,99224,75151.45,73219.0,47.6309889,-117.54053359999999,2.0,,,"$75,151.45"
31,WA,WA,99218,60295.83,81159.0,47.7525209,-117.41085990000002,1.0,,,"$60,295.83"
32,WA,WA,99218,60295.83,39795.0,47.739021,-117.40993700000001,2.0,,,"$60,295.83"
33,WA,WA,99216,44981.19,81884.0,47.675378,-117.20673799999999,2.0,,,"$44,981.19"
