,Zip Code,Number of Stations,Average AGI,Number of Connectors,AGI Range,Percentage of Total Zips
0,92618,47,122389.22,178.0,100k-125k,7.38
1,64105,44,57048.14999999996,256.0,50k-75k,37.0
2,94025,44,354954.01999999967,299.0,175k+,5.88
3,94538,42,83908.60999999997,135.0,75k-100k,15.33
4,95814,41,62561.270000000004,215.0,50k-75k,37.0
5,95054,39,151775.58000000005,492.0,150k-175k,1.78
6,98004,39,256281.94000000006,155.0,175k+,5.88
7,92101,39,95251.68999999996,199.0,75k-100k,15.33
8,10019,34,299201.7300000002,56.0,175k+,5.88
9,92037,34,241640.30999999982,115.0,175k+,5.88
10,98101,33,180470.96,109.0,175k+,5.88
11,21201,32,50910.189999999966,89.0,50k-75k,37.0
12,93446,32,63671.43999999996,70.0,50k-75k,37.0
13,32819,31,89188.16999999997,83.0,75k-100k,15.33
14,80202,31,155584.43,101.0,150k-175k,1.78
15,96815,29,73207.05000000002,62.0,50k-75k,37.0
16,94588,29,149144.89000000007,92.0,125k-150k,3.78
17,64108,28,61024.60000000003,142.0,50k-75k,37.0
18,98109,27,126632.47000000007,90.0,125k-150k,3.78
19,30339,25,124470.68999999996,114.0,100k-125k,7.38
20,96813,25,80186.15999999997,43.0,75k-100k,15.33
21,60611,24,412035.8,67.0,175k+,5.88
22,94080,23,78297.54000000002,153.0,75k-100k,15.33
23,89109,23,250287.40000000005,81.0,175k+,5.88
24,92626,23,80389.63999999996,103.0,75k-100k,15.33
25,94065,23,258776.16999999995,75.0,175k+,5.88
26,94558,23,89761.83000000003,55.0,75k-100k,15.33
27,92660,23,288504.3399999999,91.0,175k+,5.88
28,92617,22,106369.3,125.0,100k-125k,7.38
29,30303,22,78670.67999999995,85.0,75k-100k,15.33
30,10016,22,233637.40000000002,41.0,175k+,5.88
31,90012,22,57951.13999999999,222.0,50k-75k,37.0
32,95014,22,214609.64000000004,42.0,175k+,5.88
33,94574,22,188743.16000000003,42.0,175k+,5.88
34,95616,22,86845.65999999997,88.0,75k-100k,15.33
35,98104,21,108538.88999999996,61.0,100k-125k,7.38
36,30326,21,188459.35000000006,67.0,175k+,5.88
37,96814,21,76265.37000000002,42.0,75k-100k,15.33
38,95035,21,95977.53000000001,53.0,75k-100k,15.33
39,90210,21,574453.7599999999,76.0,175k+,5.88
40,80302,21,133697.49000000005,48.0,125k-150k,3.78
41,97301,21,37600.0,47.0,<50k,28.25
42,78701,21,299482.96999999986,79.0,175k+,5.88
43,94105,20,371887.9100000001,60.0,175k+,5.88
44,96732,20,48852.709999999985,37.0,<50k,28.25
45,22202,20,111466.07000000004,77.0,100k-125k,7.38
46,28202,20,105406.5,59.0,100k-125k,7.38
47,92262,20,67432.87000000002,66.0,50k-75k,37.0
48,94103,20,113823.37000000004,77.0,100k-125k,7.38
49,90802,20,55270.329999999994,85.0,50k-75k,37.0
50,48226,20,124206.76999999999,94.0,100k-125k,7.38
51,33701,19,115739.21999999999,46.0,100k-125k,7.38
52,94306,19,224950.8900000001,58.0,175k+,5.88
53,32801,19,79408.26,49.0,75k-100k,15.33
54,34236,19,245547.99000000014,45.0,175k+,5.88
55,49423,19,61102.979999999996,40.0,50k-75k,37.0
56,94304,19,527691.28,127.0,175k+,5.88
57,78704,19,89975.93999999997,57.0,75k-100k,15.33
58,95113,18,130014.29000000001,118.0,125k-150k,3.78
59,15213,18,66627.5,43.0,50k-75k,37.0
60,94102,18,91077.53000000001,65.0,75k-100k,15.33
61,90245,18,114807.16999999998,52.0,100k-125k,7.38
62,30318,18,66539.43999999997,47.0,50k-75k,37.0
63,94040,18,169854.89999999997,87.0,150k-175k,1.78
64,95134,18,126663.88999999997,71.0,125k-150k,3.78
65,02210,18,266800.0,76.0,175k+,5.88
66,96707,18,67223.34,41.0,50k-75k,37.0
67,95112,17,62646.599999999984,84.0,50k-75k,37.0
68,90017,17,67773.82000000004,72.0,50k-75k,37.0
69,98057,17,64687.88,49.0,50k-75k,37.0
70,78758,17,44971.0,73.0,<50k,28.25
71,92614,17,100799.5,57.0,100k-125k,7.38
72,10021,17,562339.66,30.0,175k+,5.88
73,20036,17,138899.48,34.0,125k-150k,3.78
74,12401,17,50944.10999999999,45.0,50k-75k,37.0
75,37203,17,175950.52,49.0,175k+,5.88
76,10022,17,514786.9500000001,28.0,175k+,5.88
77,61761,17,62499.80000000002,37.0,50k-75k,37.0
78,80301,17,109858.40999999997,33.0,100k-125k,7.38
79,91101,16,98926.10000000002,43.0,75k-100k,15.33
80,95110,16,77900.87,2077.0,75k-100k,15.33
81,95448,16,106512.94999999997,29.0,100k-125k,7.38
82,94063,16,64169.69999999998,41.0,50k-75k,37.0
83,81611,16,186515.74000000005,33.0,175k+,5.88
84,95630,16,104170.68999999997,61.0,100k-125k,7.38
85,94515,16,94551.44999999997,25.0,75k-100k,15.33
86,90045,16,112666.62999999998,118.0,100k-125k,7.38
87,84111,16,59618.5,44.0,50k-75k,37.0
88,90069,16,168460.93999999997,51.0,150k-175k,1.78
89,85251,16,88257.78000000001,43.0,75k-100k,15.33
90,21202,16,73753.62,41.0,50k-75k,37.0
91,33401,16,148630.5,35.0,125k-150k,3.78
