State,Zip Code,Returns Filed,AGI
AK,99901,6420,411668
AK,99835,4570,303947
AK,99833,1670,98525
AK,99827,1300,74437
AK,99824,1180,87423
AK,99801,12260,868965
AK,99780,790,40392
AK,99760,380,20890
AK,99743,600,42667
AK,99737,1910,123611
AK,99714,460,28319
AK,99712,4550,352279
AK,99709,11210,830398
AK,99705,9430,613310
AK,99703,3910,142421
AK,99702,1420,60723
AK,99701,8620,487600
AK,99688,1320,80968
AK,99686,2130,162099
AK,99676,930,53386
AK,99674,630,37130
AK,99672,1670,113713
AK,99669,7890,604852
AK,99664,2310,147087
AK,99654,14490,1022046
AK,99645,13150,979464
AK,99639,590,33652
AK,99631,140,8475
AK,99615,6470,409005
AK,99611,6620,483476
AK,99610,1180,73867
AK,99605,100,4181
AK,99603,5480,351655
AK,99588,680,38612
AK,99586,230,11286
AK,99577,13350,1179161
AK,99573,440,20079
AK,99572,190,13967
AK,99568,130,7621
AK,99567,4290,340927
AK,99556,1080,61410
AK,99540,140,10640
AK,99518,5380,360571
AK,99517,8670,672216
AK,99516,9810,1462279
AK,99515,11410,1054169
AK,99508,16660,929996
AK,99507,19570,1564350
AK,99506,3010,120092
AK,99505,2350,93575
AK,99504,20100,1175024
AK,99503,8650,510230
AK,99502,12350,1072061
AK,99501,8640,630735
WA,99403,8820,481719
WA,99402,790,50139
WA,99401,120,6413
WA,99371,120,5831
WA,99362,17440,1055431
WA,99361,790,44093
WA,99360,630,38461
WA,99357,2020,81994
WA,99356,110,4440
WA,99354,10620,722246
WA,99353,7120,560961
WA,99352,15380,1338150
WA,99350,5480,308984
WA,99349,3040,116454
WA,99348,540,23331
WA,99347,970,49194
WA,99344,7180,323763
WA,99343,1080,54951
WA,99341,320,14722
WA,99338,6370,616466
WA,99337,13430,845323
WA,99336,21660,1014453
WA,99330,650,33086
WA,99329,130,6872
WA,99328,1540,82045
WA,99326,1420,70021
WA,99324,3960,189840
WA,99323,1680,97486
WA,99322,110,7389
WA,99321,520,14381
WA,99320,4030,235765
WA,99301,31600,1637350
WA,99224,9310,699660
WA,99223,15010,1257638
WA,99218,6230,375643
WA,99217,7890,404893
WA,99216,11640,523581
WA,99212,9230,503377
WA,99208,23380,1487308
WA,99207,12790,416875
WA,99206,16700,893735
WA,99205,19930,833193
WA,99204,3400,165793
WA,99203,10230,884952
WA,99202,7190,293665
WA,99201,5660,293042
WA,99185,610,34891
WA,99181,720,32227
WA,99180,480,21855
WA,99179,210,12279
WA,99173,630,25688
WA,99171,440,22846
WA,99170,490,23819
WA,99169,1180,65740
WA,99167,270,11549
WA,99166,1160,60903
WA,99163,10900,595454
WA,99161,670,40056
WA,99159,550,31239
WA,99158,240,12886
WA,99157,280,13105
WA,99156,3290,173503
WA,99155,480,16118
WA,99153,200,10193
WA,99150,140,7555
WA,99148,950,52930
WA,99143,280,13943
WA,99141,2240,111302
WA,99140,150,4702
WA,99139,470,25928
WA,99138,470,19543
WA,99137,130,6012
WA,99135,110,5863
WA,99134,250,13270
WA,99133,680,37493
WA,99130,370,18844
WA,99129,220,7310
WA,99128,130,6968
WA,99126,300,14900
WA,99125,240,10137
WA,99123,490,29519
WA,99122,1530,91183
WA,99119,420,21688
WA,99118,310,14113
WA,99117,190,9554
WA,99116,600,31124
WA,99115,480,24851
WA,99114,5130,265114
WA,99113,390,24030
WA,99111,1860,103703
WA,99110,690,31985
WA,99109,2150,108955
WA,99103,220,12226
WA,99101,530,23783
WA,99040,390,13917
WA,99037,7510,476180
WA,99036,740,62096
WA,99034,150,6386
WA,99033,360,16952
WA,99032,290,12792
WA,99031,610,38374
WA,99030,460,25769
WA,99029,710,32768
WA,99027,3000,182052
WA,99026,4200,292213
WA,99025,2440,166461
WA,99023,250,20765
WA,99022,3920,212623
WA,99021,4290,296883
WA,99019,5150,524633
WA,99018,110,4812
WA,99016,6400,453953
WA,99013,350,14684
WA,99012,390,21869
WA,99011,1060,39536
WA,99009,1590,80105
WA,99008,250,13704
WA,99006,5240,286163
WA,99005,4200,438508
WA,99004,7870,386208
WA,99003,2310,142167
WA,99001,2240,89810
WA,98953,2870,159063
WA,98952,680,27143
WA,98951,5370,190902
WA,98948,5510,187264
WA,98947,1270,54323
WA,98946,230,12404
WA,98944,10140,360045
WA,98942,7910,531792
WA,98938,820,35786
WA,98937,1900,119002
WA,98936,2720,149226
WA,98935,1740,63296
WA,98933,610,26273
WA,98932,2210,74189
WA,98930,6630,251258
WA,98926,12940,703566
WA,98923,710,31513
WA,98922,2780,211228
WA,98908,17150,1252357
WA,98903,6940,363658
WA,98902,19280,759002
WA,98901,12050,555131
WA,98862,1270,88970
WA,98858,700,36162
WA,98857,1690,91001
WA,98856,1240,59189
WA,98855,2400,100195
WA,98851,1520,68158
WA,98850,730,29137
WA,98849,430,18212
WA,98848,5480,265987
WA,98847,920,44269
WA,98846,540,25462
WA,98844,1750,82407
WA,98843,820,42007
WA,98841,3920,164261
WA,98840,1870,87020
WA,98837,18160,999520
WA,98832,230,7170
WA,98831,1580,88719
WA,98830,210,10334
WA,98828,1090,56657
WA,98827,120,5394
WA,98826,3560,234595
WA,98823,5000,263779
WA,98822,870,45486
WA,98816,3550,233942
WA,98815,3240,179580
WA,98814,230,10481
WA,98813,1920,49722
WA,98812,2560,103014
WA,98802,13860,775633
WA,98801,19130,1151427
WA,98686,8880,671728
WA,98685,13150,1202441
WA,98684,13700,802258
WA,98683,15740,1187261
WA,98682,26890,1549571
WA,98675,2300,159060
WA,98674,5940,366118
WA,98672,2980,230725
WA,98671,10270,769215
WA,98665,12670,882901
WA,98664,11080,825467
WA,98663,6840,368953
WA,98662,15370,829414
WA,98661,20330,1243731
WA,98660,5450,370604
WA,98651,420,37176
WA,98650,490,35399
WA,98649,470,28274
WA,98648,1340,78576
WA,98647,150,5893
WA,98645,550,33914
WA,98643,150,7729
WA,98642,8290,863991
WA,98640,1910,86090
WA,98638,670,32754
WA,98635,760,43754
WA,98632,20870,1097259
WA,98631,1570,78170
WA,98629,3790,297279
WA,98628,170,5814
WA,98626,10350,525207
WA,98625,3040,216702
WA,98624,630,32509
WA,98620,2960,144959
WA,98619,180,9402
WA,98616,110,7132
WA,98613,180,10160
WA,98612,1210,69991
WA,98611,4230,242231
WA,98610,1240,67418
WA,98607,13480,1602080
WA,98606,4470,415872
WA,98605,700,33107
WA,98604,15910,1135107
WA,98603,350,22714
WA,98601,1330,85282
WA,98597,10300,540194
WA,98596,2560,130251
WA,98595,1260,56541
WA,98593,450,18360
WA,98592,980,68910
WA,98591,1690,92421
WA,98590,160,8078
