Station Name,Street Address,City,State,Zip Code,Connector1,Connector2,Connector3,Connector4,Geocode Status,Latitude,Longitude,ID
Lou Sobh Kia,1135 Buford Rd,Cumming,GA,30041,,,2,,GPS,34.17578259,-84.12742689,74164
Lincoln Property,733 Concord Ave,Cambridge,MA,2138,,2,,,GPS,42.391193,-71.1533721,74170
Wisconsin Place Community Recreation Center,5307 Friendship Blvd,Bethesda,MD,20815,,2,,,GPS,38.9607817,-77.0881052,81151
Performance Kia,229 SW Everett Mall Way,Everett,WA,98204,,,2,,GPS,47.9060808,-122.2365818,74196
Lee Johnson Kia,11845 NE 85th St,Kirkland,WA,98033,,,2,,GPS,47.6786184,-122.1813764,76253
Renton Kia,200 SW Grady Way,Renton,WA,98057,,,2,,GPS,47.4707729,-122.2202054,76252
Meadows Landmark,201-301 St Route 17 N,Rutherford,NJ,7070,,2,,,GPS,40.818834,-74.100607,81152
Grove City Police Department,3360 Park St,Grove City,OH,43123,,,2,,GPS,39.8818533,-83.0922737,81154
City of Staunton - Parking Lot,115 Greenville Ave,Staunton,VA,24401,,,2,,GPS,38.148447,-79.071256,65705
Historic Hampton Inn,401 E Nelson St,Lexington,VA,24450,,,2,,GPS,37.779707,-79.438653,68849
Public Parking - Charlottesville,107 E Main St,Charlottesville,VA,22902,,1,2,,GPS,38.0311,-78.481082,63341
East Century Boulevard Street Parking,1771 E Century Blvd,Los Angeles,CA,90002,,1,,,GPS,33.9457165,-118.241112,81144
NRG EVgo Office,11390 W Olympic Blvd,Los Angeles,CA,90064,,2,,,GPS,34.0371343,-118.4427025,74153
Pacific Coast SunTrail Hub,65 Third St,Point Reyes Station,CA,94956,,1,2,,GPS,38.067927,-122.807203,60724
WeWork,156 2nd St,San Francisco,CA,94105,,1,,,GPS,37.7871905,-122.3990266,81145
Zero Motorcycles,380 El Pueblo Rd,Scotts Valley,CA,95066,,2,,,GPS,37.0494113,-122.0124115,74160
Coast Guard House Historic Inn & Cottages,695 Arena Cove,Point Arena,CA,95468,,1,,,GPS,38.9143349,-123.7097718,63371
LADWP - Crenshaw,4030 Crenshaw Blvd,Los Angeles,CA,90012,,2,,,GPS,34.0117844,-118.3346573,78834
Extra Space Storage,2904 Casitas Ave,Los Angeles,CA,90039,,1,,,GPS,34.110475,-118.246578,64776
Sacramento County Public Garage,725 7th St,Sacramento,CA,95814,,,,1 SP Inductive,GPS,38.58431244,-121.4956055,1495
California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,,4,,,GPS,34.06872,-118.064,1583
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,,2,,,GPS,32.89947,-117.243,6355
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,,6,,,GPS,33.91115,-117.4591,6425
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,,1,,,GPS,33.7637,-118.192,7172
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,,20,,,GPS,33.94325,-118.403342,7184
Ontario Airport Hilton,700 N Haven Ave,Ontario,CA,91764,,1,,,GPS,34.07122,-117.575,7194
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,,2,,,GPS,34.22935,-119.173,7195
Hilton Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,,1,,,GPS,33.823353,-116.5436,7196
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,,2,,,GPS,34.0189,-117.38,7206
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,,4,,1 SP Inductive,GPS,38.69005,-121.58889,7212
City of Temecula - 6th Street Lot,28462 Front St,Temecula,CA,92590,,2,,,GPS,33.49605,-117.152,7236
San Diego Convention Center - Ace Parking,111 W Harbor Dr,San Diego,CA,92101,,2,,,GPS,32.70597,-117.162,7264
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,,1,,,GPS,37.80619,-122.4152,7280
Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,,,,1 SP Inductive,GPS,37.784912,-122.430237,21351
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,,1,,,GPS,37.78881,-122.401,21358
Civic Center Garage,355 McAllister St,San Francisco,CA,94102,,,,1 SP Inductive,GPS,37.780369,-122.417824,21366
Hotel Sofitel,8555 Beverly Blvd,Los Angeles,CA,90048,,2,,,GPS,34.07631,-118.377,21368
California State University Northridge - Lot G9 Structure,18111 Nordhoff St,Northridge,CA,91330,,2,,,GPS,34.248959,-118.523887,21395
California State University Northridge - Lot B4,18111 Nordhoff St,Northridge,CA,91330,,2,,,GPS,34.241687,-118.528543,21396
California State University Northridge - Surface Lot B2,18111 Nordhoff St,Northridge,CA,91330,,4,,,GPS,34.236853,-118.532588,21397
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,,2,,,GPS,34.13556,-117.864,21498
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,,2,,,GPS,33.9826,-118.3966,21524
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,,1,12,1 SP Inductive,GPS,33.77699,-117.871,21535
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,3,1,,,GPS,34.418322,-119.3368,21566
Ojai City Hall,401 S Ventura Blvd,Ojai,CA,93023,,2,,,GPS,34.4447896,-119.2467592,21567
Loews Santa Monica Beach Hotel,1700 Ocean Ave,Santa Monica,CA,90401,,6,,,GPS,34.00907,-118.4928,21575
Florida Solar Energy Center,1679 Clearlake Rd,Cocoa,FL,32922,,1,2,,GPS,28.38777746,-80.75634406,21604
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,,1,,,GPS,34.267352,-119.2124,21606
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,,3,,,GPS,34.268756,-119.2154,21607
Pacific View Mall,3295 E Main St,Ventura,CA,93003,,3,,,GPS,34.268,-119.2492,21608
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,1,1,,,GPS,35.25939,-120.64492,21713
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,,2,,,GPS,38.73323,-120.78962,25507
Vacaville Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,,1,,1 SP Inductive,GPS,38.356027,-121.9628,25511
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,,3,,1 SP Inductive,GPS,38.36557,-121.967,25514
Vacaville Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,,3,,1 SP Inductive,GPS,38.35172,-121.987,25515
KUIC Parking Lot - Lot 9,500 Catherine St,Vacaville,CA,95688,,1,,1 SP Inductive,GPS,38.355867,-121.9862,25517
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,,3,,1 SP Inductive,GPS,38.67995,-121.2989,25519
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,,2,,,GPS,38.72799,-120.828,25522
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,,2,,,GPS,38.6476,-121.067,25523
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,,1,,,GPS,38.74453,-121.17,25527
Burlington International Airport,1200 Airport Dr,South Burlington,VT,5403,2,,,,GPS,44.469281,-73.154972,27036
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,1,1,,1 SP Inductive,GPS,38.15485,-121.69,27302
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,,3,,1 SP Inductive,GPS,38.23723,-122.123,27329
Sacramento International Airport - Terminal A Garage - Daily,Lindbergh Dr,Sacramento,CA,95837,,10,,5 SP Inductive,GPS,38.69033,-121.5871,28005
Sacramento International Airport - Terminal A Garage - Hourly,Lindbergh Dr,Sacramento,CA,95837,,2,,1 SP Inductive,GPS,38.69033,-121.5871,28006
Los Angeles International Airport (LAX) - Lot 1 ,1 World Way,Los Angeles,CA,90045,,20,2,,GPS,33.944761,-118.399767,28007
Paso Robles RV Ranch & Campground,398 Exline Rd,Paso Robles,CA,93446,1,,,1 Conductive,GPS,35.682304,-120.702174,33541
Meadow Park - Donner Historical Society,10115 Donner Trail Rd,Truckee,CA,96161,,1,,,GPS,39.32732,-120.215,33543
City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,,1,,1 SP Inductive,GPS,39.15,-123.2091,33544
Placer County Community Development Resource Center,3091 County Center Dr,Auburn,CA,95603,,1,,,GPS,38.9412492,-121.1054805,33550
4th and G Plaza Public Parking Garage,4th St & G St,Davis,CA,95616,3,2,,,GPS,38.54643,-121.7388,33555
Davis Amtrak Station,840 2nd St,Davis,CA,95616,,2,,1 SP Inductive,GPS,38.5443,-121.738,33556
University Covenant Church,315 Mace Blvd,Davis,CA,95618,,1,,,GPS,38.55755,-121.6947,33558
Ciudad del Rey Motel & Trailer Park,50557 Wild Horse Rd,King City,CA,93930,,,,6 Conductive 120V/240V NEMA 14-50,GPS,36.188975,-121.075858,33563
Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,,2,,,GPS,33.84788,-118.13889,33564
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,,1,,1 SP Inductive,GPS,37.94495,-122.5096,33690
Oakland Airport - Daily B Lot,1 Airport Dr,Oakland,CA,94621,,2,,,GPS,37.7136,-122.2087,33695
Rabobank - Salinas,1285 N Davis Rd,Salinas,CA,93907,,1,,,GPS,36.70104,-121.6673,35470
Cool Roof Store,575 Cooke St,Honolulu,HI,96813,,,,2 Tesla Conductive 240V,GPS,21.299654,-157.857132,35473
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,,4,,,GPS,35.25982,-120.676,35561
Avista Corp,1411 E Mission Ave,Spokane,WA,99252,1,2,,,GPS,47.673347,-117.388933,35620
Element Hotels - Ewing,1000 Sam Weinroth Rd,Ewing,NJ,8628,,1,,,GPS,40.27801132,-74.82046509,36368
Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,Malta,NY,12020,1,,,,GPS,42.97167,-73.774182,36532
Georgia Power Headquarters - Visitor Parking,241 Ralph McGill Blvd,Atlanta,GA,30308,,2,,,GPS,33.763819,-84.38023,36973
McDonald's,116 5th Ave,Huntington,WV,25703,,1,,,GPS,38.417513,-82.456588,37104
Solar Living Institute,13771 S Highway 101,Hopland,CA,95449,2,2,,2 Other Conductive,GPS,38.966725,-123.114542,37264
Liberty Park,1021 S Constitution Dr,Salt Lake City,UT,84119,,4,,,GPS,40.74686,-111.876,37655
McDonald's,2611 Harrison Ave NW,Olympia,WA,98502,1,,,,GPS,47.045792,-122.933675,37669
Courtyard Hadley Amherst - Marriott,423 Russell St,Hadley,MA,1035,,1,,,GPS,42.36262,-72.5395,37813
Banker's Row Parking Lot,200 NE 1st Ave,Delray Beach,FL,33444,,3,,,GPS,26.465314,-80.07219,37835
Mineta San Jose International Airport - Terminal A,2077 Airport Blvd,San Jose,CA,95110,1,3,,1 TAL 2000 SP Inductive,GPS,37.36395,-121.9238,38255
Lockhart Power,420 River Rd,Lockhart,SC,29379,,2,,,GPS,34.7705,-81.494433,38313
New Turk Lake Market,2023 S Greenville Rd,Greenville,MI,48838,,1,,,GPS,43.264535,-85.256679,38538
Town of Dyer - Town Hall,1 Town Square,Dyer,IN,46311,,3,,,GPS,41.492057,-87.522819,38774
Super 8 Ukiah,693 S Orchard Ave,Ukiah,CA,95482,,3,,,GPS,39.1458,-123.198497,39314
Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,1111 W Broad St,Richmond,VA,23284,,2,,,GPS,37.551409,-77.45233,39574
Baytown Nissan,5445 I-10 E,Baytown,TX,77521,,1,,,,29.806862,-94.9724389,39712
Classic Nissan,2010 US Highway 75 N,Denison,TX,75020,,1,,,GPS,33.775328,-96.58308,39719
Mossy Nissan,12150 Katy Fwy,Houston,TX,77079,,1,,,GPS,29.785494,-95.60022,39729
Sames Kingsville Nissan,2501 S US Highway 77,Kingsville,TX,78363,,1,,,GPS,27.492086,-97.84753,39735
Clear Lake Nissan,2150 Gulf Fwy,League City,TX,77573,,1,,,200-9,29.484543,-95.10255,39737
McGavock Nissan,6312 Milwaukee Ave,Lubbock,TX,79424,,1,,,GPS,33.535048,-101.958266,39740
Twin City Nissan,10549 Highway 69,Port Arthur,TX,77640,,1,,,GPS,29.953433,-94.0071,39745
Round Rock Nissan,3050 N IH-35,Round Rock,TX,78681,,1,,,GPS,30.54205,-97.69265,39748
Ancira Nissan,10835 IH-10 W,San Antonio,TX,78230,,1,,,GPS,29.543147,-98.57544,39750
World Car Nissan,12908 IH-35 N,San Antonio,TX,78233,,1,,,GPS,29.556508,-98.34469,39753
Nissan of San Marcos,2980 S IH-35,San Marcos,TX,78666,,1,,,GPS,30.4963137,-97.6809454,39754
Nissan of Silsbee,3480 Highway 96 Bypass,Silsbee,TX,77656,,1,,,GPS,30.314894,-94.18396,39755
Peltier Nissan,3201 W-SW Loop 323,Tyler,TX,75701,,1,,,,32.312443,-95.3413626,39758
Colonial Nissan,200 Myers Dr,Charlottesville,VA,22901,,1,1,,GPS,38.086121,-78.474663,39765
Magic Nissan of Everett,10500 Highway 99 S,Everett,WA,98204,,2,,,,47.9024565,-122.2463661,39783
Younker Nissan,3401 E Valley Rd,Renton,WA,98058,,1,1,,GPS,47.448281,-122.219286,39791
Nissan of Rivergate,1550 Gallatin Pike N,Madison,TN,37115,,1,1,,GPS,36.29062,-86.7051,39815
Roberts Nissan,2747 Hillsboro Blvd,Manchester,TN,37355,,1,,,,35.4550288,-86.0450369,39816
Kiefer Nissan,900 NW 4th St,Corvallis,OR,97330,,1,,,GPS,44.572608,-123.258425,39830
Lithia Nissan of Eugene,2060 Martin Luther King,Eugene,OR,97401,,1,,,,44.0592136,-123.0811507,39831
Royal Moore Nissan Subaru,1326 SE Enterprise Cir,Hillsboro,OR,97123,,1,,,GPS,45.508744,-122.968747,39835
Bill Gatton Nissan,235 Century Blvd,Bristol,TN,37620,,1,,,GPS,36.54282,-82.2354,39847
Jack Ingram Motors,227 Eastern Bypass,Montgomery,AL,36117,,1,1,,,32.3770775,-86.2093615,39852
